Plot Title: Riihiluoma 1,,,,
index,time,new_fridge,water_heater,old_fridge
248,02/10/2021 07:52:38 PM,1.294,0.049,0.098
249,02/10/2021 07:53:38 PM,1.294,0.073,0.098
250,02/10/2021 07:54:38 PM,1.294,0.073,0.098
251,02/10/2021 07:55:38 PM,1.319,0.073,0.073
252,02/10/2021 07:56:38 PM,1.294,0.073,0.098
253,02/10/2021 07:57:38 PM,1.294,0.073,0.122
254,02/10/2021 07:58:38 PM,1.294,18.071,0.122
255,02/10/2021 07:59:38 PM,1.294,18.120,0.122
256,02/10/2021 08:00:38 PM,1.294,18.095,0.122
257,02/10/2021 08:01:38 PM,1.294,18.144,0.098
258,02/10/2021 08:02:38 PM,1.294,18.095,0.122
259,02/10/2021 08:03:38 PM,1.294,18.144,0.122
260,02/10/2021 08:04:38 PM,1.294,18.144,0.122
261,02/10/2021 08:05:38 PM,1.294,18.120,0.122
262,02/10/2021 08:06:38 PM,1.294,18.144,0.122
263,02/10/2021 08:07:38 PM,1.294,18.144,0.098
264,02/10/2021 08:08:38 PM,1.294,18.144,0.098
265,02/10/2021 08:09:38 PM,1.294,18.095,0.098
266,02/10/2021 08:10:38 PM,1.294,18.144,0.098
267,02/10/2021 08:11:38 PM,1.294,18.095,0.122
268,02/10/2021 08:12:38 PM,1.294,18.095,0.122
269,02/10/2021 08:13:38 PM,1.294,18.071,0.122
270,02/10/2021 08:14:38 PM,1.294,0.073,0.073
271,02/10/2021 08:15:38 PM,1.294,0.073,0.073
272,02/10/2021 08:16:38 PM,1.294,0.073,0.073
273,02/10/2021 08:17:38 PM,1.294,0.073,0.073
274,02/10/2021 08:18:38 PM,1.319,0.073,0.073
275,02/10/2021 08:19:38 PM,1.294,0.073,0.073
276,02/10/2021 08:20:38 PM,1.294,0.073,0.073
277,02/10/2021 08:21:38 PM,3.663,0.073,0.073
278,02/10/2021 08:22:38 PM,3.712,0.073,0.073
279,02/10/2021 08:23:38 PM,3.712,0.073,0.073
280,02/10/2021 08:24:38 PM,1.343,0.049,0.073
281,02/10/2021 08:25:38 PM,1.270,0.049,0.073
282,02/10/2021 08:26:38 PM,1.294,0.073,0.073
283,02/10/2021 08:27:38 PM,1.270,0.073,0.073
284,02/10/2021 08:28:38 PM,1.294,0.049,0.098
285,02/10/2021 08:29:38 PM,1.294,0.073,0.073
286,02/10/2021 08:30:38 PM,1.294,0.073,0.098
287,02/10/2021 08:31:38 PM,1.270,0.073,0.073
288,02/10/2021 08:32:38 PM,1.270,0.073,0.073
289,02/10/2021 08:33:38 PM,1.270,0.073,0.073
290,02/10/2021 08:34:38 PM,1.270,0.073,0.073
291,02/10/2021 08:35:38 PM,1.294,0.073,0.073
292,02/10/2021 08:36:38 PM,1.270,0.073,0.073
293,02/10/2021 08:37:38 PM,1.294,0.049,0.073
294,02/10/2021 08:38:38 PM,1.294,0.073,0.098
295,02/10/2021 08:39:38 PM,1.294,0.073,0.073
296,02/10/2021 08:40:38 PM,1.294,0.073,0.073
297,02/10/2021 08:41:38 PM,1.294,0.073,0.073
298,02/10/2021 08:42:38 PM,1.294,0.073,0.073
299,02/10/2021 08:43:38 PM,1.294,0.073,0.073
300,02/10/2021 08:44:38 PM,1.294,0.073,0.073
301,02/10/2021 08:45:38 PM,1.294,0.073,0.073
302,02/10/2021 08:46:38 PM,1.270,0.073,0.073
303,02/10/2021 08:47:38 PM,1.294,0.073,0.073
304,02/10/2021 08:48:38 PM,1.294,0.073,0.073
305,02/10/2021 08:49:38 PM,1.294,0.073,0.073
306,02/10/2021 08:50:38 PM,1.294,0.073,0.073
307,02/10/2021 08:51:38 PM,1.294,0.073,0.073
308,02/10/2021 08:52:38 PM,1.294,0.073,0.098
309,02/10/2021 08:53:38 PM,1.294,0.049,0.073
310,02/10/2021 08:54:38 PM,1.294,0.073,0.073
311,02/10/2021 08:55:38 PM,1.074,0.073,0.098
312,02/10/2021 08:56:38 PM,1.050,0.049,0.073
313,02/10/2021 08:57:38 PM,2.637,0.073,0.073
314,02/10/2021 08:58:38 PM,2.711,0.073,0.073
315,02/10/2021 08:59:38 PM,2.686,0.073,0.073
316,02/10/2021 09:00:38 PM,2.686,0.073,0.098
317,02/10/2021 09:01:38 PM,2.662,18.168,0.122
318,02/10/2021 09:02:38 PM,2.662,18.242,0.122
319,02/10/2021 09:03:38 PM,2.637,18.168,0.122
320,02/10/2021 09:04:38 PM,2.637,18.193,0.122
321,02/10/2021 09:05:38 PM,2.637,18.144,0.122
322,02/10/2021 09:06:38 PM,2.662,18.193,0.098
323,02/10/2021 09:07:38 PM,2.637,18.168,0.122
324,02/10/2021 09:08:38 PM,2.662,18.193,0.098
325,02/10/2021 09:09:38 PM,2.662,18.193,0.098
326,02/10/2021 09:10:38 PM,2.637,18.168,0.122
327,02/10/2021 09:11:38 PM,2.637,18.193,0.122
328,02/10/2021 09:12:38 PM,2.637,18.193,0.122
329,02/10/2021 09:13:38 PM,2.637,18.168,0.122
330,02/10/2021 09:14:38 PM,2.564,18.168,0.098
331,02/10/2021 09:15:38 PM,2.759,18.217,0.098
332,02/10/2021 09:16:38 PM,2.759,18.217,0.098
333,02/10/2021 09:17:38 PM,2.589,18.193,0.098
334,02/10/2021 09:18:38 PM,2.662,18.217,0.122
335,02/10/2021 09:19:38 PM,2.711,0.073,0.073
336,02/10/2021 09:20:38 PM,3.346,0.073,0.098
337,02/10/2021 09:21:38 PM,3.297,0.073,0.073
338,02/10/2021 09:22:38 PM,2.711,0.073,0.073
339,02/10/2021 09:23:38 PM,2.686,0.073,0.830
340,02/10/2021 09:24:38 PM,2.686,0.073,0.733
341,02/10/2021 09:25:38 PM,2.686,0.073,0.733
342,02/10/2021 09:26:38 PM,2.686,0.073,0.733
343,02/10/2021 09:27:38 PM,2.686,0.073,0.708
344,02/10/2021 09:28:38 PM,0.147,0.049,0.708
345,02/10/2021 09:29:38 PM,0.098,0.073,0.708
346,02/10/2021 09:30:38 PM,0.147,0.073,0.708
347,02/10/2021 09:31:38 PM,0.147,0.049,0.684
348,02/10/2021 09:32:38 PM,0.147,0.073,0.684
349,02/10/2021 09:33:38 PM,0.122,0.073,0.684
350,02/10/2021 09:34:38 PM,0.147,0.073,0.684
351,02/10/2021 09:35:38 PM,0.122,0.073,0.684
352,02/10/2021 09:36:38 PM,0.122,18.120,0.757
353,02/10/2021 09:37:38 PM,0.147,18.144,0.757
354,02/10/2021 09:38:38 PM,0.122,18.168,0.757
355,02/10/2021 09:39:38 PM,0.122,18.120,0.757
356,02/10/2021 09:40:38 PM,0.122,18.144,0.757
357,02/10/2021 09:41:38 PM,0.147,18.168,0.757
358,02/10/2021 09:42:38 PM,1.197,18.144,0.733
359,02/10/2021 09:43:38 PM,1.221,18.144,0.757
360,02/10/2021 09:44:38 PM,1.294,18.168,0.733
361,02/10/2021 09:45:38 PM,1.294,18.193,0.757
362,02/10/2021 09:46:38 PM,1.368,18.168,0.757
363,02/10/2021 09:47:38 PM,1.392,18.217,0.757
364,02/10/2021 09:48:38 PM,1.392,18.217,0.757
365,02/10/2021 09:49:38 PM,1.368,18.242,0.757
366,02/10/2021 09:50:38 PM,1.368,18.193,0.757
367,02/10/2021 09:51:38 PM,1.343,18.242,0.757
368,02/10/2021 09:52:38 PM,1.343,18.266,0.757
369,02/10/2021 09:53:38 PM,1.343,18.242,0.757
370,02/10/2021 09:54:38 PM,1.343,18.242,0.733
371,02/10/2021 09:55:38 PM,1.343,18.291,0.733
372,02/10/2021 09:56:38 PM,1.343,18.291,0.757
373,02/10/2021 09:57:38 PM,1.343,18.291,0.757
374,02/10/2021 09:58:38 PM,1.343,18.266,0.757
375,02/10/2021 09:59:38 PM,1.343,18.291,0.733
376,02/10/2021 10:00:38 PM,1.343,18.291,0.733
377,02/10/2021 10:01:38 PM,1.343,18.291,0.733
378,02/10/2021 10:02:38 PM,1.343,18.291,0.733
379,02/10/2021 10:03:38 PM,1.343,18.291,0.757
380,02/10/2021 10:04:38 PM,1.343,18.291,0.733
